client_id,name,age,gender,marital_status,employment_status,location,annual_income,housing_condition,private_car,number_credits_loans,national_bank_reported,credit_score,app_installed,email,phone
693129,Christopher Howard,38,Female,Single,Unemployed,Danielburgh,384018.89,Mortgage,True,3,True,635,False,juliacole@example.org,428.517.0919x3801
496972,Phillip Weaver,72,Male,Married,Self-Employed,Ericborough,60864.02,Mortgage,True,3,True,501,True,mharding@example.com,348.375.6493x7225
10255374,Jeffrey Miller,59,Female,Single,Self-Employed,Turnerport,86701.39,Own,True,5,True,319,True,johnsonchristina@example.net,(612)767-1355x45424
9218148,Linda Kerr,45,Female,Divorced,Employed,North Nicole,42954.19,Own,False,3,True,392,True,wesleyrobertson@example.com,001-941-512-3485x7753
2,Samuel Smith,62,Male,Divorced,Self-Employed,West Stephanie,27472.82,Own,True,1,True,825,False,stephenphelps@example.org,682-425-0859x08112
49,Kimberly Johnson,68,Male,Married,Unemployed,East Julie,26385.25,Mortgage,False,1,True,707,True,wrightmark@example.com,265.904.6836x88408
12048681,Jose Moore,24,Female,Divorced,Self-Employed,Johnsonberg,105385.13,Mortgage,False,5,True,619,True,heatherroberts@example.net,877-324-3807x24258
295,Amanda Barber,72,Female,Married,Self-Employed,Debraborough,43862.47,Mortgage,True,4,True,587,False,kbell@example.com,6599589473
424152,Robert Conway,34,Male,Married,Unemployed,Lake Troy,25000.0,Rent,False,1,True,441,False,ibrown@example.net,001-940-507-5419x816
992,Timothy Brady,26,Female,Married,Self-Employed,Adamborough,316385.02,Mortgage,True,5,True,305,True,fwilson@example.net,530.469.1107x5916
557708,Robert King,65,Female,Married,Self-Employed,Anthonyburgh,136469.24,Rent,True,1,True,458,False,wgamble@example.net,(970)736-4568x050
30,Austin Gilbert,50,Male,Single,Employed,Scottfort,114167.39,Mortgage,True,5,True,541,True,imoore@example.org,001-648-665-9336x7998
62,Thomas Brown,56,Female,Married,Self-Employed,West Jill,145408.68,Mortgage,False,3,True,797,False,jo32@example.net,001-358-251-3781x252
5718180,Felicia Arroyo,64,Male,Married,Self-Employed,Joshuaville,106243.62,Rent,False,4,True,304,True,rclark@example.org,6942458011
243075614,Victoria Jones,67,Male,Single,Self-Employed,Williamsmouth,81792.52,Mortgage,False,5,True,676,True,luis81@example.com,001-539-335-2190x71324
2849980,Amber Nelson,27,Male,Married,Unemployed,East Georgeborough,34934.77,Mortgage,False,1,True,697,False,patriciaatkinson@example.com,+1-471-337-9544
5558,Alexis Johnson,80,Male,Married,Unemployed,Wisefurt,25000.0,Mortgage,True,1,True,747,False,kmartin@example.net,+1-824-595-7743x378
854,Jackie Russell,64,Male,Single,Unemployed,Port Zachary,59434.33,Mortgage,True,2,True,742,True,howardbrandon@example.com,+1-229-399-8512
418760,Michael Wagner,60,Male,Single,Employed,East Lindatown,53183.1,Rent,False,3,True,422,True,jacqueline14@example.com,7277198507
31790099,Jesse Smith,28,Male,Single,Employed,Port Rhondafort,26596.86,Rent,False,2,False,610,True,georgelopez@example.net,626-691-1790
95,Danny Gibbs,23,Female,Single,Unemployed,Martinfurt,74178.69,Own,True,1,True,702,False,nsanders@example.org,(718)339-9369
